id,2020년 취미
0,헬스
1,넷플릭스
2,일
3,음주
4,넷플릭스
5,골프
6,골프
7,코로나19
8,새로운 지점 운영
9,생각안남
10,축구
11,인서울
12,연극
13,코로나
14,게임
15,대학교 복학
16,헬스
17,한강 걷기
18,뮤지컬
19,게임
20,성적올리기
21,테슬라 주가
22,제대 및 사업
23,야생나물
24,틱톡 릴스
25,독서
26,운동
27,아마도 스우파였던거 같음
28,부동산
28,주식
29,여행
30,영어공부
30,외국인 친구랑 채팅
31,인테리어
32,연애
33,결혼
34,OTT 서비스 
35,슈만 소곡들
36,비대면 수업
37,코딩 온라인 수강
38,고양이입양
39,음악감상
40,태국2달살기
41,기억안남
42,만화책 읽기
43,중국어 공부
43,드라마 시청
44,골프
45,요가
46,개 돌보기
47,부동산
47,재테크
48,등산
49,연애
50,코로나
51,OTT
52,수영
52,풋살
53,독서
53,OTT
53,요리
53,재테크
54,코딩
55,2차전지
56,연애
57,회사업무
58,글쓰기
59,캠핑
60,취미없음
61,맛집 다니기/옷사기
62,재테크
63,취업
64,드라마 영화감상
65,야구직관
66,주식
67,클라이밍
68,카톡
69,등산
70,원데이클래스
71,새로운 만남
72,바이크
73,음주가뮤
74,웹소설
75,게임
76,OTT 시청
77,뉴스기사
77,직콕
78,테니스
79,기억안남
80,골프
81,연애
82,쇼핑
83,댄스
83,서핑
83,주식
84,주식시장
85,음주
86,유튜브
87,취직준비
88,여행유튜브보기
88,모임
89,새로운 사람들 만나기
90,사진 촬영
91,골프
92,부서이동
93,취미없음
94,주식
95,주식시장
96,교제
97,넷플릭스
98,유튜브
99,비디오 게임
100,게임
101,자격증 취득
102,코로나 관련 뉴스
103,워라밸
104,게임
105,직장생활
106,테니스
107,게임
108,코로나
110,맛집탐방
111,맛집탐방
112,달리기 
113,이직적응
114,일
115,독서
116,독서
117,독서
118,뮤지컬
119,축구
120,이직
121,게임
122,AI
123,홈트레이닝
124,요리
125,서울 맛집
126,취미없음
127,호캉스
128,조깅
129,게임
130,거북목과의 만남
131,서핑
132,신입사원
133,와인
134,코스피
135,달리기
136,독서
137,클라이밍