id,2024년 흥미
0,음주
1,배드민턴
2,휴식
3,음주
4,골프
5,골프
6,골프
7,좋은 자동차 구매하기
8,우리 지사 가족들에 풍요로움과 행복함
9,자기관리
10,연예
11,아파트청약당첨
12,테니스
13,새로운 도전
14,게임
15,해외여행 가기
16,헬스
17,러닝
17,보컬수업
18,스포츠 배우기
19,부동산 공부
20,체중감량
21,여행
22,테니스
22,수영
23,독서
24,해외여행
25,등산
26,운동
27,독서
28,운동
29,여행
30,여행
31,언어배우기
32,해외여행
33,재테크
34,연애
35,재즈
35,셀로니어스몽크
36,이직
37,악기
38,골프
39,수영
39,캠핑
39,콘서트관람
39,프로야구관람
39,농구하기
39,발레하기
39,글쓰기수업
39,바이올린배우기
40,사업
41,유튜브를 더 공격적으로 찍고싶어요
42,도자기 만들기
43,수영
43,베이킹
44,여행
45,테니스
46,건강관리
47,재테크
48,커리어 개발
49,누워있기
50,주식
50,재테크
51,여전히 투자
52,축구
52,수영
52,테니스
53,독서
53,와인
53,플랫폼 및 창업
53,부동산
54,자격증
55,2차전지
56,여행
57,결혼
58,건강 챙기며 글도 많이 읽기
59,골프 
60,건강관리
60,자기계발
61,연애/결혼
62,여행
63,네트워킹
64,여행
65,가족들과 놀러다니기
66,여행 (해외)
67,클라이밍
68,치킨
69,테니스
70,취창업클래스
71,휴식
72,미래
73,바뀌지않았습니나다
74,웹소설
75,운동
76,아이돌 덕질
77,돈벌고 여행
78,테니스
79,산행과 연계한 국내여행
80,골프와 자기계발
81,자기관리
82,여행
83,여행
83,웨이트
83,서핑
83,공연/전시
83,독서
84,이직
85,여행
86,해외 공연
87,운동
87,몸 만들기
88,사람들과의 만남 및 개인발전
89,무사졸업
90,스쿠버 다이빙
91,해외여행
92,골프를 잘치고싶음
93,연애
94,그림 및 전시회 기획
95,여행
96,여행
97,휴식
98,여행
99,축구
100,게임
101,이직
102,드라마
103,자유
104,없음
105,엑스박스
106,요리
107,클라이밍
108,휴학 
110,글쓰기
110,웹툰 그리기
111,운동
112,풀코스 완주
113,유럽여행
114,자기 계발
115,창업
116,독서
117,영어회화
117,운동
118,마라톤 대회 출전
119,수영
120,마라톤
121,골프
122,요가
123,재테크
123,언어공부
124,공부
125,해외 맛집
126,골프
127,수영
128,테니스
128, 웨이트트레이닝
129,테니스
130,건강
130,체력
130,근력 유지
131,여행
132,졸업
133,투자
134,금리
135,작곡
135,글짓기
135,무술
136,테니스
137,해외여행