id,취미(선택)
0,독서
1,스포츠 관련 취미 ( 각종 스포츠 직접 하기 혹은 스포츠 관람)
2,독서
3,독서
3,음주
4,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
4,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
5,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
6,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
7,"악기 연주( 현악, 관악 등 모두 가능)"
7,요리
7,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
7,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
8,독서
8,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
8,자기계발 등 공부
9,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
10,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
11,홀덤
12,"악기 연주( 현악, 관악 등 모두 가능)"
12,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
12,예술 관련 관람 취미 (미술관 관람 등)
12,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
12,독서
12,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
12,"보드게임(부루마불, 할리갈리 등)"
13,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
13,독서
13,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
13,자기계발 등 공부
14,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
14,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
14,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
14,"보드게임(부루마불, 할리갈리 등)"
15,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
15,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
16,예술 관련 관람 취미 (미술관 관람 등)
16,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
16,독서
16,음주
16,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
16,자기계발 등 공부
16,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
16,"헬스, 등산"
17,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
17,가무(노래 및 춤추기)
18,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
19,요리
19,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
19,음주
19,자기계발 등 공부
19,"보드게임(부루마불, 할리갈리 등)"
20,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
20,음주
20,"보드게임(부루마불, 할리갈리 등)"
21,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
21,독서
21,가무(노래 및 춤추기)
21,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
21,자기계발 등 공부
22,요리
22,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
22,예술 관련 관람 취미 (미술관 관람 등)
22,음주
22,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
23,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
24,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
24,음주
24,가무(노래 및 춤추기)
24,자기계발 등 공부
24,헬스
25,독서
25,"헬스, 등산"
26,"악기 연주( 현악, 관악 등 모두 가능)"
26,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
26,독서
26,음주
26,"근력운동, 등산"
27,"악기 연주( 현악, 관악 등 모두 가능)"
27,독서
27,가무(노래 및 춤추기)
27,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
27,자기계발 등 공부
27,"웹툰, 웹소설 드라마 등 보기"
28,독서
28,혼자 하는 운동
29,요리
29,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
29,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
30,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
30,독서
30,자기계발 등 공부
31,요리
31,예술 관련 관람 취미 (미술관 관람 등)
31,음주
31,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
32,가무(노래 및 춤추기)
32,캠핑
33,요리
33,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
33,독서
33,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
33,자기계발 등 공부
33,"보드게임(부루마불, 할리갈리 등)"
34,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
34,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
34,음주
35,요리
35,예술 관련 관람 취미 (미술관 관람 등)
36,요리
36,예술 관련 관람 취미 (미술관 관람 등)
36,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
36,독서
36,자기계발 등 공부
37,"악기 연주( 현악, 관악 등 모두 가능)"
37,예술 관련 관람 취미 (미술관 관람 등)
37,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
37,독서
38,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
38,음주
38,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
38,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
39,요리
39,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
39,예술 관련 관람 취미 (미술관 관람 등)
39,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
39,독서
39,가무(노래 및 춤추기)
39,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
39,자기계발 등 공부
39,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
39,"자전거타기, 캠핑"
40,"악기 연주( 현악, 관악 등 모두 가능)"
40,예술 관련 관람 취미 (미술관 관람 등)
40,독서
41,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
41,독서
41,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
41,자기계발 등 공부
42,예술 관련 관람 취미 (미술관 관람 등)
42,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
42,독서
42,음주
42,가무(노래 및 춤추기)
43,요리
43,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
44,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
45,"악기 연주( 현악, 관악 등 모두 가능)"
45,요리
45,예술 관련 관람 취미 (미술관 관람 등)
45,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
45,독서
45,자기계발 등 공부
46,예술 관련 관람 취미 (미술관 관람 등)
46,독서
46,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
46,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
46,자기계발 등 공부
46,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
46,"동계 스포츠 활동 참여(스키, 스노보드 등)"
47,"악기 연주( 현악, 관악 등 모두 가능)"
47,예술 관련 관람 취미 (미술관 관람 등)
47,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
47,독서
47,음주
47,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
47,자기계발 등 공부
47,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
48,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
48,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
48,음주
48,가무(노래 및 춤추기)
48,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
48,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
48,"동계 스포츠 활동 참여(스키, 스노보드 등)"
49,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
49,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
50,요리
50,독서
51,예술 관련 관람 취미 (미술관 관람 등)
51,독서
51,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
51,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
51,자기계발 등 공부
51,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
51,"동계 스포츠 활동 참여(스키, 스노보드 등)"
52,예술 관련 관람 취미 (미술관 관람 등)
52,독서
52,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
53,독서
53,음주
53,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
53,자기계발 등 공부
54,"악기 연주( 현악, 관악 등 모두 가능)"
54,자기계발 등 공부
54,헬스
55,주식
56,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
56,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
56,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
57,요리
57,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
57,자기계발 등 공부
57,운동
58,독서
58,수영
59,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
59,"동계 스포츠 활동 참여(스키, 스노보드 등)"
60,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
60,자기계발 등 공부
60,"동계 스포츠 활동 참여(스키, 스노보드 등)"
61,자기계발 등 공부
61,오토바이 타기인데 드라이빙계열이 선택지계열에 없네요
62,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
62,예술 관련 관람 취미 (미술관 관람 등)
62,가무(노래 및 춤추기)
63,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
63,러닝
64,요리
64,예술 관련 관람 취미 (미술관 관람 등)
64,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
64,독서
64,가무(노래 및 춤추기)
65,요리
65,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
65,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
65,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
65,자기계발 등 공부
65,"동계 스포츠 활동 참여(스키, 스노보드 등)"
66,요리
66,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
66,독서
66,음주
66,가무(노래 및 춤추기)
66,자기계발 등 공부
66,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
66,"보드게임(부루마불, 할리갈리 등)"
66,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
66,"동계 스포츠 활동 참여(스키, 스노보드 등)"
66,그냥 운동 (헬스 러닝 등)
67,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
67,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
67,독서
67,클라이밍
68,"악기 연주( 현악, 관악 등 모두 가능)"
69,음주
69,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
69,"동계 스포츠 활동 참여(스키, 스노보드 등)"
70,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
70,"보드게임(부루마불, 할리갈리 등)"
70,폴댄스
71,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
71,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
71,자기계발 등 공부
71,"보드게임(부루마불, 할리갈리 등)"
71,"하계 스포츠 활동 참여(구기 외 서핑, 스쿠버다이빙 등)"
72,예술 관련 관람 취미 (미술관 관람 등)
72,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
72,가무(노래 및 춤추기)
72,"영상 창작 활동(영화, 연극 등 제작 혹은 참여)"
72,"구기 종목 활동 참여 취미(축구, 야구, 농구, 배구, 골프, 족구, 세팍타크로, 게이트볼 등)"
72,자기계발 등 공부
72,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
72,바이크
73,독서
73,음주
73,"예술 창작 활동(글쓰기, 공예, 드로잉 등)"
74,"축구, 야구, 농구, 배구 등 스포츠 관람 취미"
74,독서
75,"비디오 게임(플레이스테이션, 닌텐도, PC, XBOX 등)"
75,"보드게임(부루마불, 할리갈리 등)"
76,예술 관련 관람 취미 (미술관 관람 등)
76,"시청각 자료 시청 관련 취미 ( 드라마, 유튭, 영화, 연극, 뮤지컬 시청 등)"
76,독서
76,음주
