id,취미(입력)
0,독서
1,여행
2,게임
3,독서
4,축구
4,골프
5,골프
6,골프
7,바이크타기
7,쇼핑하기
8,골프
9,농구
10,운동
11,홀덤
11,낚시
12,기타
12,테니스
12,레고
12,유툽
13,독서
13,운동
13,눕기
13,잠자기
13,LP
14,게임
15,화장품쇼핑
16,헬스
17,보컬수업
17,러닝
18,잠자기
19,넷플릭스보기
19,게임하기
19,강아지랑놀기
19,맛집탐방
20,운동
20,OTT
21,골프
21,레고
21,노래
22,게임
22,노래방
22,맛집탐방
23,음악듣기
24,넷플보기
25,운동
25,독서
26,피아노
26,운동
26,등산
26,독서
26,넷플릭스
27,웹소설
27,웹툰
27,드라마
27,스쿼시
28,헬스
28,독서
28,홈가드닝
29,꽃꽂이
29,헬스
30,누워있기
30,OTT보기
30,책읽기
30,맛있는음식먹기
30,홈트하기
30,영어공부하기
31,와인
31,요리+관련인스타그램운영
32,캠핑
33,골프
34,드라마보기
34,배구보기
34,야구보기
35,클래식음악감상
35,핸드드립커피
36,운동
36,독서
36,청소
37,피아노연주
37,공연관람
38,골프
39,수영
39,댄스
39,자전거타기
39,음악감상
40,공연관람
41,홈트
41,화상영어
41,다이어리쓰기
41,브이로그찍기
41,수영
42,원데이클래스탐방
43,필라테스
43,드라마몰아보기
43,빵집투어
44,골프
45,골프
45,수영
45,요가
45,독서
45,음악감상
46,음악감상
46,글쓰기
47,독서모임
47,골프
47,수영
48,운동
49,헬스
50,요가
50,강아지산책
50,카페가기
50,맛집탐방
51,러닝
52,풋살
52,수영
53,독서
53,와인모임
53,운동
53,도예
54,운동
54,피아노
55,주식
56,영화보기
57,헬스
57,필라테스
57,등산
58,웹소설
58,수영
59,골프
60,유튜브시청하기
61,바이크타기
61,아랍어공부
62,탁구
63,뜨개
63,런닝
64,음악감상
64,영화보기
64,런닝
65,게임
66,헬스
66,런닝
67,클라이밍
68,카톡
69,등산
69,자전거
69,스노우보드
69,캠핑
70,폴댄스
71,스쿠버다이빙
71,골프
72,바이크
72,농구및기타운동
73,책읽기
73,술마시기
73,꽃꽂이하기
74,웹소설
75,게임
76,아이돌덕질
77,운동
78,테니스
79,아이돌덕질
80,골프
81,넷플릭스보기
82,놀이공원/맛집탐방
83,웨이트
83,서핑
83,염색
84,헬스
84,등산
84,골프
84,전시보기
85,여행
85,맛집탐방
85,유튜브보기
86,유튜브
86,넷플릭스
86,공연관람
86,등산
87,운동
87,넷플릭스
87,드라이브
88,웹툰보기
88,사진찍기
88,여행유튜브보기
89,테니스
90,수영
90,뮤지컬관람
91,골프
91,테니스
92,축구
93,전시관람
93,그림그리기
93,런닝
94,그림그리기
94,요가
95,게임
96,유튜브보기
96,멍때리기
96,옛날게임하기
96,드라이브하기
97,육아
98,음악회
98,트레킹
99,축구하기
99,축구보기
99,운동
100,게임
101,골프
101,식물키우기
102,드라마보기
103,발레
104,게임
105,없음
106,테니스
107,게임
107,맛집탐방
108,위스키
109,골프수영
110,핸드폰게임하기
110,아이쇼핑
111,축구
111,맛있는거먹기
112,달리기
113,풋살
114,맛있는안주와술마시기
114,OTT관람
114,등산
115,공연관람
115,독서
115,골프
116,독서
116,논픽션콘텐츠관람
116,등산
117,캠핑
118,런닝
118,OTT
118,독서
119,복싱
119,요가
119,축구
119,랩녹음
119,사진전관람
120,헬스
120,복싱
120,자전거
121,자전거타기
121,가까운데여행
121,게임
122,여행
122,쇼핑
122,운동
123,자전거
123,댄스
123,산책
123,영화
123,연극
123,전시관람
124,레고
125,음주
126,웨이트
127,유튜브보기
128,조깅
128,드라마보기
129,영화감상
130,크로스핏
130,헬스
131,음악감상
132,게임
132,독서
132,위스키
132,운동
133,골프
133,독서
133,음주
134,유튜브시청
135,요리
135,외국어
135,스노우보드
136,베이스기타
137,영화
137,독서
137,각종스포츠
137,캠핑