id,취미플랫폼
0,사용 안함
1,프립
2,사용 안함
3,사용 안함
4,아이디어스
5,사용 안함
6,오프라인 동호회
7,사용 안함
8,오프라인 동호회
9,오프라인 동호회
10,오프라인 동호회
11,사용 안함
12,사용 안함
12,학원
13,소모임
14,사용 안함
15,사용 안함
16,사용 안함
17,사용 안함
18,사용 안함
19,프립
19,아이디어스
20,사용 안함
21,오프라인 동호회
22,사용 안함
23,사용 안함
24,사용 안함
25,온라인 커뮤니티
26,사용 안함
27,사용 안함
28,사용 안함
29,사용 안함
30,사용 안함
31,사용 안함
32,사용 안함
33,사용 안함
33,오프라인 동호회
34,프립
35,사용 안함
35,유튜브
36,사용 안함
37,오프라인 동호회
38,사용 안함
39,프립
39,솜씨당
39,구립 복합문화체육센터 홈페이지
39,백화점 문화센터
40,사용 안함
41,사용 안함
42,프립
42,인스타그램
43,사용 안함
44,사용 안함
45,소모임
45,사용 안함
46,원데이클래스
46,브랜드 프로모션(예: 부쉐론 팝업)
47,트레바리
48,사용 안함
49,소모임
50,아이디어스
51,클래스101
51,소모임
51,오프라인 동호회
52,오프라인 동호회
53,클래스101
53,소모임
53,트레바리
54,소모임
55,키움증권
56,사용 안함
57,소모임
58,사용 안함
59,사용 안함
60,프립
61,사용 안함
61,오프라인 동호회
62,소모임
62,문토
63,사용 안함
64,사용 안함
65,사용 안함
66,사용 안함
67,인스타그램
68,오프라인 동호회
69,오프라인 동호회
70,솜씨당
70,아이디어스
71,프립
71,솜씨당
71,오프라인 동호회
72,오프라인 동호회
72,네이버 밴드
73,사용 안함
74,네이버 시리즈
74,카카오페이지
75,디스코드
76,사용 안함
77,오프라인 동호회
78,소모임
79,오프라인 동호회
80,클래스101
80,아이디어스
80,인스타
80,유튜브
81,클래스101
82,소모임
83,프립
84,사용 안함
85,오프라인 동호회
86,사용 안함
87,소모임
88,프립
88,오프라인 동호회
89,사용 안함
89,오프라인 동호회
90,사용 안함
91,사용 안함
92,프립
92,소모임
93,프립
93,당근
94,사용 안함
95,사용 안함
96,사용 안함
97,사용 안함
98,사용 안함
99,오프라인 동호회
100,사용 안함
101,사용 안함
102,솜씨당
103,사용 안함
104,사용 안함
105,사용 안함
106,오프라인 동호회
107,사용 안함
108,클래스101
108,오프라인 동호회
110,프립
111,사용 안함
112,사용 안함
113,플랩
114,사용 안함
115,클래스101
115,오프라인 동호회
116,교보문고 이북앱
116,유튜브
117,사용 안함
118,사용 안함
119,사용 안함
120,사용 안함
121,사용 안함
122,솜씨당
123,클래스101
123,솜씨당
124,사용 안함
125,사용 안함
126,사용 안함
127,사용 안함
128,사용 안함
129,클래스101
130,사용 안함
131,사용 안함
132,프립
132,아이디어스
133,오프라인 동호회
134,소모임
135,사용 안함
136,사용 안함
137,사용 안함